code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
0011;REDACTEUR PRINCIPAL;;;REDACTEUR (PREMIER GRADE);Rédacteur;TAR1;DECRETS 87-1105 ET 87-1106 DU 30 12 1987
0012;REDACTEUR;;;REDACTEUR (PREMIER GRADE);Rédacteur;TAR1;DECRETS 87-1105 ET 87-1106 DU 30 12 1987
0013;ADJOINT ADMINISTRATIF;AAJ1;;ADJOINT ADMINISTRATIF PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint administratif principal de 2ème classe;TAJ3;DECRET 87-1109 DU 30 12 1987 DT 93-986 DU 04-08-93 : LES PERSONNELS QUI EXERCAIENT LEURS FONCTIONS DS DES ETS A CARACTERE MEDICAL OU SOCIAL ONT LA POSSIBILITE D'ETRE IN- TEGRES AU 30-08-92 DS LE GRADE DE SECRETAIRE MEDICO SOCIAL (0393)
0014;ADJOINT ADMINISTRATIF PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TAJ3;Adjoint administratif principal de 2ème classe;ADJOINT ADMINISTRATIF PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint administratif principal de 2ème classe;TAJ3;DECRET 87-1109 DU 30 12 1987 DT 93-986 DU 04-08-93 : LES PERSONNELS QUI EXERCAIENT DS DES ETS A CARACTERE MEDICAL OU SOCIAL ONT LA POSSIBILITE D'ETRE INTEGRES AU 30-08-92 DS LE GRADE DE SECRETAIRE MEDICO SOCIAL (0393) EN VERTU DU DECRET:90-829 DU 20/09/90, LES MOTS COMMIS ET COMMIS PRINCIPAUX SONT REMPLACES PAR ADJOINT ADMINISTRATIF ET ADJOINT ADMINISTRATIF PRINCIPAL PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16, CE GRADE (E05) EST RÉFÉRENCÉ À (EC2)
0015;AGENT ADMINISTRATIF (ECH 5);AAG3;;ADJOINT ADMINISTRATIF (ECH 5/ECH C2);;AAG3;DECRET 87-1110 DU 30 12 1987 CE GRADE EST CLASSE EN VOIE D'EXTINCTION PEUVENT ETRE NOMMES A CE GRADE LES AGENTS EXERCANT LES FONCTIONS DE RECEVEUR PRINCIPAL ET DE CHEF DE STANDARD TELEPHONIQUE
0016;AGENT ADMINISTRATIF QUALIFIE;AAG2;;ADJOINT ADMINISTRATIF (ECH C1);Adjoint administratif;TAJ1;TACHES ADMINISTRATIVES D EXECUTION DECRET 87-1110 DU 30 12 1987 SUITE AU DÉCRET N°2005-1346 DU 28/10/05, LES AGENTS ADMINIST [0017]DOIVENT JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS DANS CE GRADE POUR EN BENEFICIER EN RETRAITE (RDC À COMPTER DU 01/05/06, IDEM POUR LA REVALO DE CE GRADE AU 01/11/05
0017;AGENT ADMINISTRATIF;AAG1;;ADJOINT ADMINISTRATIF (ECH C1);Adjoint administratif;TAJ1;TACHES ADMINISTRATIVES D EXECUTION DECRET 87-1110 DU 30 12 1987 MODIFIÉ PAR LE DÉCRET 2005-1346 DU 28/10/05 : SUPPRESSION DE L'ÉCHELLE 2 ET RECLASSEMENT DANS L'ÉCHELLE 3 AU 01/11/05
0018;AGENT DE BUREAU;;;ADJOINT ADMINISTRATIF (ECH C1);Adjoint administratif;TAJ1;AGENT D EXECUTION DECRET 87-1111 DU 30 12 1987 ART 25-1 : LES AGENTS DE BUREAU TITULAIRES ET STAGIAIRES SONT INTEGRES EN QUALITE DE TITULAIRES ET STAGIAIRES DANS LE CADRE D EMPLOIS AU GRADE D AGENT ADMINISTRATIF (0017) A L ECHELON QU ILS AVAIENT ATTEINT DANS LEUR GRADE D ORIGINE EN CONSERVANT L ANCIENNETE D ECHELON ACQUISE LES INTEGRATIONS PRENNENT EFFET AU 01/02/91
0019;TECHNICIEN TERRITORIAL CHEF;;;TECHNICIEN PRINCIPAL DE PREMIERE CLASSE (TROISIEME GRADE);Technicien principal de 1ère classe;TTT3;DÉCRET N° 88-549 DU 06/05/88: ILS SONT CHARGES DE PARTICIPER A L ELABORATION D UN PROJET DE TRAVAUX NEUFS OU D ENTRETIEN,DE PROCEDER AUX ENQUETES,CONTROLES ET MESURES TECHNIQUES VISANT À ASSURER DU RESPECT DES RÈGLES DE SALUBRITÉ PEUVENT ETRE INVESTI DE FONCTIONS D ENCADREMENT
0020;TECHNICIEN TERRITORIAL PRINCIPAL;;;TECHNICIEN PRINCIPAL DE DEUXIEME CLASSE (DEUXIEME GRADE);Technicien principal de 2ème classe;TTT2;DÉCRET N° 88-549 DU 06/05/88: ILS SONT CHARGES DE PARTICIPER A L ELABORATION D UN PROJET DE TRAVAUX NEUFS OU D ENTRETIEN,DE PROCEDER AUX ENQUETES,CONTROLES ET MESURES TECHNIQUES VISANT À ASSURER DU RESPECT DES RÈGLES DE SALUBRITÉ PEUVENT ETRE INVESTI DE FONCTIONS D ENCADREMENT
0021;TECHNICIEN TERRITORIAL;;;TECHNICIEN PRINCIPAL DE DEUXIEME CLASSE (DEUXIEME GRADE);Technicien principal de 2ème classe;TTT2;DÉCRET N° 88-549 DU 06/05/88: ILS SONT CHARGES DE PARTICIPER A L ELABORATION D UN PROJET DE TRAVAUX NEUFS OU D ENTRETIEN,DE PROCEDER AUX ENQUETES,CONTROLES ET MESURES TECHNIQUES VISANT À ASSURER DU RESPECT DES RÈGLES DE SALUBRITÉ PEUVENT ETRE INVESTI DE FONCTIONS D ENCADREMENT
0022;AGENT DE MAITRISE PRINCIPAL;;;TECHNICIEN (PREMIER GRADE);Technicien;TTT1;CHARGE DE DIRIGER LES ACTIVITES D UN ATELIER,TACHES D ENCADREMENT DES PERSONNELS CHARGE DE REALISER L EXECUTION DE TRAVAUX DECRET 88-548 DU 06 05 1988 POUR LES PERSONNELS EN ACTIVITE TITULAIRES DU GR D'AGENT DE MAITRISE PRINCIPAL POSTERIEUREMENT AU 1/8/95 ET RADIE DES CADRES SUR CE GR, IL CONVIENT DE PRENDRE LE GR 0551
0023;AGENT DE MAITRISE QUALIFIE;ATM2;;AGENT DE MAITRISE PRINCIPAL;Agent de maîtrise principal;TTM2;CHARGE DE MISSIONS ET TRAVAUX TECHNIQUES NECESSITANT UNE EXPERIENCE PROFESSIONNELLE CONFIRMEE COMPORTANT LA SURVEILLANCE,L EXECUTION ET L ENCADREMENT DECRET 88-548 DU 06 05 1988, MODIFIÉ PAR LES DÉCRETS : 90-830 DU 20/09/90 ET 94-1157 DU 28/12/94, LE DÉCRET 95-952 DU 25/08/95 REVALORISE CE GRADE LE 1/1/95 CONFORMÉMENT AU DÉCRET N°2005-1727 DU 30/12/05, LE 6ÈME ÉCHELON PROVISOIRE EST CRÉÉ LE 01/01/06 POUR L'INTÉGRATION DES FONCTIONNAIRES DE L'ÉTAT EMPLOYÉS EN QUALITÉ DE CHEFS D'ÉQUIPE D'EXPLOITATION PRINCIPAUX DES TRAVAUX PUBLICS, DES MAÎTRES OUVRIERS PRINCIPAUX DES ADMINISTRATIONS DE L'ÉTAT ET DES ADJOINTS TECHNIQUES PRINCIPAUX DE RECHERCHE ET DE FORMATION (ART 109 DE LA LOI DE DÉCENTRALISATION N°2004-809 DU 13/08/04)(5ÈME ECH = P5 DE L'ÉTAT)
0024;AGENT DE MAITRISE;TTM1;Agent de maîtrise;AGENT DE MAITRISE;Agent de maîtrise;TTM1;DÉCRET N°88-547 DU 6 MAI 1988 MODIFIÉ PAR DÉCRET N°2009-1711 DU 29/12/09 ILS SONT CHARGÉS DE MISSIONS ET DE TRAVAUX TECHNIQUES COMPORTANT LE CONTRÔLE DE LA BONNE EXECUTION DE TRAVAUX, L'ENCADREMENT D'ADJOINT TECHNIQUE ET LA TRANSMISSION D'ORDRE TECHNIQUE ÉMANANT DE SUPÉRIEURS.. DÉCRETS N° 2016-1382 ET 1383 DU 12/10/16 REVALO AU 01/01/17(RAJOUT D'UN ÉCHELON AVEC CONDITIONS DE RECLAS), AU 01/01/18, AU 01/01/19 ET AU 01/01/20, LA DURÉE D'AVANCEMENT DES ÉCHELONS DEVIENT FIXE..LES DATES D'EFFET DES REVALORISATIONS SUCCESSIVES AU TITRE DU PPCR ONT ÉTÉ REPORTÉES PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 À COMPTER DU  01/01/18, AU 01/01/2019, AU 01/01/2020 ET AU 01/01/2021.
0025;AGENT TECHNIQUE PRINCIPAL (ECH 5);ATH3;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;"FONCTIONS TECHNIQUES NECESSITANT UNE EXPERIENCE PROFESSIONNELLE ETENDUE DECRET 88-554 DU 06 05 1988 CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0026;AGENT TECHNIQUE QUALIFIE;ATH2;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;"CHARGE DE L EXECUTION ET DE LA REPRODUCTION ASSURE LA CONDUITE DES TRAVAUX DES AGENTS D ENTRETIEN DECRET 88-554 DU 06 05 1988 LES FONCTIONNAIRES INTEGRES DS LE CADRE D'EMPLOIS DES AGENTS TECHNIQUES ET QUI EXERCAIENT LES FONCTIONS D'ASEM SONT INTEGRES SUR DEMANDE DS LE GRADE D'ASEM DE 1ERE CL (0346) AU 30-08-92 ART 19 DT 93-986 DU 04-08-93 CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0027;AGENT TECHNIQUE;ATH1;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;"CHARGE DE TACHES TECHNIQUES D EXECUTION NECESSITANT UNE FORMATION PREALABLE DT 88-554 DU 06 05 1988 LES FONCT INTEGRES DS LE CADRE D'EMPLOIS DES AGENTS TECHNIQUES ET QUI EXERCAIENT LES FONCTIONS D'ASEM SONT INTEGRES SUR DEMANDE DS LE GRADE D'ASEM DE 1ERE CL (0346)AU 30-08-92 ART 19 DT 93-986 DU 04-08-93 DECRETS 2005-1344 ET 1345 DU 28/10/05 CF ART 20 DU DT N°2006-1691 DU 22/12/06 CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0028;AIDE AGENT TECHNIQUE;;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;"CHARGE DE TACHES TECHNIQUES D EXECUTION NE NECESSITANT PAS UNE EXPERIENCE PROFESSIONNELLE PARTICULIERE DECRET 88-554 DU 06 05 1988 ART 18-1 : LES AIDES AGENTS TECHNIQUES TITULAIRES ET STAGIAIRES SONT INTEGRES SELON LE CAS, EN QUALITE DE TITULAIRES OU DE STAGIAIRES, DANS LE CADRE D EMPLOIS AU GRADE D AGENT D ENTRETIEN 0037 LES INTEGRATIONS PRENNENT EFFET AU 01/08/90 SANS CONDITION D ANCIENNETE CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0029;CHEF DE GARAGE;ATC4;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;CHARGE D ASSURER LA COORDINATION ET L EXECUTION DES ORDRES DE TRANSPORT,ENCADREMENT DU PERSONNEL,CONTROLE DE L ETAT DU MATERIEL ROULANT ET TENUE DES COMPTABILITES MATIERES DECRET 88-555 DU 06 05 1988 INTÉGRÉ DANS LE CORPS DES AGENTS TECHNIQUES PAR DÉCRET N°2005-1346 DU 28/10/05
0030;CONDUCTEUR SPECIALISE DEUXIEME NIVEAU;ATC3;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;CHARGE DE LA CONDUITE DES VEHICULES DE TRANSPORT EN COMMUN OU DE POIDS LOURDS OU DE VEHICULES DE TOURISME ET DE VEHICULES UTILITAIRES LEGERS DECRET 88-555 DU 06 05 1988 INTÉGRÉ PAR DÉCRET N°2005-1346 DU 28/10/05 DANS LE CORPS DES AGENTS TECHNIQUES
0031;CONDUCTEUR SPECIALISE PREMIER NIVEAU;ATC2;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;CHARGE DE LA CONDUITE DE POIDS LOURDS OU DE VEHICULES DE TOURISME ET DE VEHICULES UTILITAIRES LEGERS DECRET 88-555 DU 06 05 1988 MODIFIÉ PAR LE DÉCRET 2005-1346 DU 28/10/05 : RECLASSEMENT À COMPTER DU 01/11/05 DANS LE GRADE D'AGENT TECHNIQUE [0027]
0032;CONDUCTEUR;ATC1;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;CHARGE DE LA CONDUITE DE VEHICULES DE TOURISME OU DE VEHICULES UTILITAIRES LEGERS DECRET 88-555 DU 06 05 1988 MODIFIÉ PAR LE DÉCRET N°2005-1346 DU 28/10/05 RECLASSEMENT DE L'[E02] DANS L'[E03] LE 01/11/05 (ART 13 DU DÉCRET CONCERNANT LES AGENTS D'ENTRETIEN)
0033;AGENT DE SALUBRITE PRINCIPAL (ECH 5);ATS3;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;"CHARGE DE CONDUIRE DES TRAVAUX CONFIES A DES AGENTS DE SALUBRITE QUALIFIES TRAVAILLANT DE FACON CONTINUE EN RESEAU SOUTERRAIN ET BENEFICIANT DE CE FAIT DU REGIME APPLICABLE AU TRAVAIL EN MILIEU INSA- LUBRE ;PEUT PARTICIPER PERSONNELLEMENT A L EXECUTION DE CES TRAVAUX"
0034;AGENT DE SALUBRITE QUALIFIE;ATS2;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;CHARGE DE CONDUIRE LES TRAVAUX CONFIES A UN GROUPE D AGENTS DE SALUBRITE,D EXERCER L EMPLOI D EGOUTIER,D ORGANISER LES CONVOIS MORTUAIRES,DE REPARTIR ET D EXECUTER LES TACHES RELATIVES AUX MESURES DE PROPHYLAXIE DES MALADIES CONTAGIEUSES DECRET 88-553 DU 06 05 1988
0035;AGENT DE SALUBRITE;ATS1;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;PEUT EXERCER UN EMPLOI: D EGOUTIER,D EBOUEUR,DE FOSSOYEUR OU D AGENT DE DESINFECTION DECRET 88-553 DU 06 05 1988 DECRETS 2005-1344 ET 1345 DU 28/10/05
0036;AGENT D ENTRETIEN QUALIFIE;ATE2;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;"DECRET 88-552 DU 06 05 1988 LES PERSONNELS AYANT LES FCTS D'ASEM OU D'AIDE MENAGERE, INTEGRES AGENT D'ENTR QUAL (DT 89-227 DU 17-04-89) SONT INTEGRES SUR DEMANDE RESPECTIVEMENT DS ATSEM DE 1ERE CL (0346) OU DS AGENT SOCIAL QUAL DE 2EME CL DT 93-986 DU 04-08-93 MODIFIÉ PAR LE DÉCRET 2005-1346 DU 28/10/05 : RECLASSEMENT À COMPTER DU 01/11/05 DANS LE GRADE D'AGENT DES SERVICES TECHNIQUES [0769] CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0037;AGENT D ENTRETIEN;ATE1;;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;"DECRET 88-552 DU 06 05 1988 ART 18-3 DU DECRET 92-504 DU 11-06-92 : PEUVENT BENEFICIER DE CE GRADE AU 01-08-92, LES AGENTS DE SERVICES DES ECOLES EN ACTIVITE ET LES RETRAITES DT 93-986 DU 04-08-93DE PLUS, LES AGENTS D'ENTRETIEN ONT LA POSSIBILITE D'ETRE INTEGRER AU 30-08-92 ATSEM DE 2EME CL (0345) S'ILS EXERCAIENT LES FCTS D'ASEM OU AGENT SOCIAL 0342) S'ILS EXERCAIENT LES FCTS D'AIDE MENAGERE (RECLAS À IND = OU >) MODIFIÉ PAR DÉCRET N°2005-1344, 1345 ET 1346 DU 28/10/05, RECLASSEMENT DE L'[ECH 02] DANS L'[ECH 03] LE 01/11/05 CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0044;INFIRMIER DE CLASSE NORMALE;;;INFIRMIER DE CLASSE NORMALE;Infirmier d.e. de classe normale (cadre d'extinction);2432;"DT N° 88-1077 DU 30 11 1988:  SECTION 1 LORS DE LEUR NOMITATION ILS BENEFICIENT :. - DE 12 MOIS DE BONIFICATION SI DIPLOME D ETAT D INFIRMIER .- DE 6 MOIS DE BONIFICATION SI DIPLOME DE SECTEUR PSYCHIATRIQUE;. AU 01-08-93 LES CONDTS DE RECL TEMPS MOYEN PASSE DANS L ECHELON DES ACTIFS SONT DIFFERENTES DE CELLE DES  P2 P3 P4 P6 ET DES RETAITES (DT 94-73 DU 25-01-94)"
0045;INFIRMIER DE CLASSE SUPERIEURE;;;INFIRMIER DE CLASSE NORMALE;Infirmier d.e. de classe normale (cadre d'extinction);2432;DT 88-1077 DU 30 11 1988 SECTION 1 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 25- 01-94)
0046;INFIRMIER SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HHB3;;INFIRMIER CADRE DE SANTE;Infirmier cadre de santé;2801;DT 88-1077 DU 30 11 1988 SECTION 2 ENCADREMENT MONITEUR DANS CENTRES ET ECOLES ART 28 AU 01-08-92 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN RETRAITE A CETTE DATE (DT 93-329 DU 1203-93) DÉCRET 2001-1375 DU 31-12-2001 - GRADE PROVISOIRE DU 01-01-2002 AU 31-12-2003 LES ACTIFS SERONT NOMMÉS, PAR LISTE D APTITUDE, DANS LE GRADE D INFIRMIER CADRE DE SANTÉ EN 3 TRANCHES LES 01-01-2002, 01-01-2003 ET 01-01-2004 NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÈS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01-01-2004 DÉCRET N°2003-1269 DU 23/12/03 MODIFIANT LE DÉCRET 2001-1375, AVANCE LA DATE DU RECLASSEMENT AU 31/12/03
0047;INFIRMIER DE SALLE D'OPERATION DE CLASSE NORMALE;;;INFIRMIER DE BLOC OPERATOIRE DE CLASSE NORMALE;Infirmier de bloc opératoire de classe normale;2460;DECRET 88-1077 DU 30 11 1988 SECTION 2 LORS DE LEUR NOMINATION BENEFICIENT DE 18 MOIS DE BONIFICATION ARTICLE 9 II TEMPS MOYEN PASSE DANS L ECHELON P2 P3 P4 P6 P7 00 09 01 00 01 06 02 00 02 00 AU 01-08-93 LES CONDTS DE RECLT DE CES PERS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 25-01-94)
0048;INFIRMIER DE SALLE D'OPERATION DE CLASSE SUPERIEURE;;;INFIRMIER DE BLOC OPERATOIRE DE CLASSE NORMALE;Infirmier de bloc opératoire de classe normale;2460;DT 88-1077 DU 30 11 1988 SECTION 2 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 25- 01-94)
